source,target,Weight
jon,ygritte,159
brienne,jaime,127
tyrion,tywin,115
ramsay,theon,114
cersei,tyrion,95
gilly,sam,95
robb,talisa,89
sansa,tyrion,85
arya,hound,79
davos,stannis,77
shae,tyrion,75
bronn,tyrion,71
daenerys,jorah,69
bran,osha,68
daenerys,missandei,67
bran,jojen,65
joffrey,margaery,64
arya,thoros,63
margaery,sansa,63
jaime,locke,59
barristan,jorah,57
cersei,tywin,57
cersei,joffrey,54
catelyn,robb,52
kraznys_mo_nakloz,missandei,52
jaime,qyburn,51
davos,gendry,50
joffrey,tywin,49
melisandre,stannis,49
edmure,robb,46
gendry,melisandre,46
arya,gendry,45
sansa,shae,45
bran,hodor,39
davos,shireen,38
olenna,varys,38
rickard_karstark,robb,38
barristan,daenerys,37
jon,orell,37
daario,daenerys,36
jon,mance,36
littlefinger,sansa,36
podrick,tyrion,36
olenna,tywin,35
jon,tormund,34
meera,osha,34
arya,beric,33
catelyn,talisa,33
cersei,margaery,33
davos,melisandre,33
orell,ygritte,32
loras,sansa,31
olenna,tyrion,31
olenna,sansa,30
orell,tormund,30
bran,meera,29
jaime,roose_bolton,29
tormund,ygritte,29
beric,thoros,28
davos,salladhor,28
jojen,osha,28
littlefinger,tyrion,28
robb,walder,28
brynden,catelyn,27
joffrey,tyrion,27
anguy,arya,26
bran,rickon,26
beric,hound,25
ros,varys,25
cersei,olenna,24
jojen,meera,24
tyrion,varys,24
daenerys,kraznys_mo_nakloz,23
hodor,jojen,23
roose_bolton,walder,23
joffrey,sansa,22
myranda,violet,22
shae,varys,22
loras,margaery,21
margaery,olenna,21
selyse,stannis,21
anguy,hound,20
anguy,thoros,20
bronn,podrick,20
gendry,thoros,20
catelyn,walder,19
daenerys,radzai_mo_eraz,19
jeor,rast,19
theon,torturer,19
brynden,edmure,18
bran,sam,17
brynden,robb,17
craster,jeor,17
daario,jorah,17
daario,mero,17
grenn,rast,17
hound,thoros,17
robb,roose_bolton,17
cersei,littlefinger,16
daenerys,mero,16
littlefinger,varys,16
osha,rickon,16
shireen,stannis,16
arya,hot_pie,15
brienne,locke,15
catelyn,edmure,15
cersei,loras,15
bran,catelyn,14
hodor,meera,14
hodor,osha,14
mance,tormund,14
melisandre,thoros,14
catelyn,roose_bolton,13
craster,karl_tanner,13
jorah,missandei,13
meera,rickon,13
mero,prendahl,13
rast,sam,13
balon,theon,12
daenerys,grey_worm,12
eddison_tollett,grenn,12
edmure,roslin,12
grey_worm,jorah,12
jojen,sam,12
martyn,talisa,12
myranda,theon,12
ros,shae,12
theon,violet,12
anguy,beric,11
anguy,gendry,11
balon,yara,11
eddison_tollett,rast,11
jaime,tywin,11
loras,olyvar,11
sansa,tywin,11
cersei,jaime,10
cersei,meryn_trant,10
edmure,walder,10
gilly,maester_aemon,10
jeor,sam,10
locke,roose_bolton,10
loras,olenna,10
loras,tyrion,10
maester_aemon,sam,10
mance,orell,10
mance,ygritte,10
meryn_trant,tyrion,10
talisa,walder,10
tywin,varys,10
brienne,roose_bolton,9
gendry,hot_pie,9
gendry,stannis,9
grenn,sam,9
hodor,rickon,9
jojen,rickon,9
little_sam,gilly,9
little_sam,sam,9
loras,tywin,9
pycelle,tyrion,9
robb,tywin,9
roose_bolton,tywin,9
black_walder,robb,8
bran,jon,8
bronn,meryn_trant,8
brynden,roose_bolton,8
brynden,talisa,8
catelyn,jaime,8
craster,rast,8
daenerys,prendahl,8
eddison_tollett,sam,8
edmure,talisa,8
farmer,jon,8
gilly,meera,8
hodor,sam,8
jeor,karl_tanner,8
joffrey,loras,8
joffrey,olenna,8
jon,sam,8
meera,sam,8
meryn_trant,taryn_mant,8
roslin,walder,8
barristan,missandei,7
beric,gendry,7
catelyn,hoster,7
cersei,pycelle,7
cersei,sansa,7
daario,missandei,7
daario,prendahl,7
edmure,lothar,7
farmer,tormund,7
grenn,jeor,7
pycelle,tywin,7
roose_bolton,talisa,7
sansa,varys,7
theon,yara,7
barristan,daario,6
beric,melisandre,6
brienne,catelyn,6
brynden,walder,6
catelyn,joyeuse,6
daario,grey_worm,6
eddison_tollett,jeor,6
farmer,ygritte,6
hot_pie,thoros,6
jaime,renly,6
jorah,mero,6
mace,olenna,6
mero,missandei,6
ned,sansa,6
robb,roslin,6
robb,theon,6
arya,melisandre,5
barristan,grey_worm,5
barristan,robert,5
black_walder,edmure,5
black_walder,lothar,5
bran,ned,5
brynden,rickard_karstark,5
catelyn,rickard_karstark,5
cersei,varys,5
craster,sam,5
gendry,hound,5
hoster,robb,5
joffrey,ned,5
joffrey,pycelle,5
jojen,jon,5
jon,pyp,5
jorah,kraznys_mo_nakloz,5
jorah,robert,5
margaery,tyrion,5
martyn,willem_lannister,5
pyp,sam,5
ramsay,roose_bolton,5
randyll,sam,5
robb,sansa,5
arya,cersei,4
arya,joffrey,4
balon,ramsay,4
bran,orell,4
bran,robb,4
bronn,joffrey,4
catelyn,roslin,4
cersei,taryn_mant,4
edmure,frey_septon,4
edmure,rickard_karstark,4
farmer,orell,4
gilly,jojen,4
greizhen,missandei,4
jaime,tyrion,4
joffrey,meryn_trant,4
joffrey,varys,4
joyeuse,robb,4
joyeuse,talisa,4
joyeuse,walder,4
littlefinger,pycelle,4
littlefinger,tywin,4
locke,tywin,4
lord_of_bones,mance,4
lord_of_bones,tormund,4
lord_of_bones,ygritte,4
lothar,walder,4
marei,tyrion,4
margaery,renly,4
margaery,tywin,4
melisandre,robert,4
pycelle,varys,4
qyburn,roose_bolton,4
qyburn,talisa,4
ramsay,yara,4
rickard_karstark,roose_bolton,4
robert,stannis,4
roslin,talisa,4
sorcerer,varys,4
taryn_mant,tyrion,4
aerys,barristan,3
aerys,robert,3
anguy,melisandre,3
beric,mountain,3
beric,ned,3
black_walder,brynden,3
black_walder,catelyn,3
bran,gilly,3
brandon_stark,catelyn,3
brandon_stark,jojen,3
brienne,selwyn,3
bronn,cersei,3
bronn,sansa,3
brynden,lothar,3
catelyn,tyrion,3
craster,grenn,3
daenerys,greizhen,3
edmure,roose_bolton,3
farmer,jojen,3
gendry,robert,3
gilly,hodor,3
gilly,randyll,3
high_septon,joffrey,3
high_septon,margaery,3
hodor,orell,3
hoster,walder,3
hound,joffrey,3
jaime,robb,3
jaime,selwyn,3
joanna,tywin,3
joffrey,renly,3
joffrey,robb,3
joffrey,shae,3
jojen,ned,3
jojen,orell,3
jon,lord_of_bones,3
jon,ned,3
jon,osha,3
littlefinger,olyvar,3
littlefinger,ros,3
littlefinger,shae,3
loras,mace,3
lothar,robb,3
mace,margaery,3
meera,orell,3
merry,walder,3
meryn_trant,podrick,3
missandei,prendahl,3
missandei,radzai_mo_eraz,3
mountain,robb,3
ned,robb,3
ned,robert,3
ned,varys,3
olenna,podrick,3
olenna,robert,3
orell,osha,3
orell,rickon,3
podrick,shae,3
qyburn,robb,3
ramsay,robb,3
renly,stannis,3
rickard_karstark,talisa,3
rickard_karstark,willem_lannister,3
robb,stannis,3
robb,tyrion,3
robert,thoros,3
roose_bolton,theon,3
ros,tyrion,3
sorcerer,tyrion,3
stannis,tywin,3
aegon,davos,2
aegon,shireen,2
aerys,jaime,2
aerys,joffrey,2
aerys,ned,2
anguy,hot_pie,2
arya,catelyn,2
arya,ilyn_payne,2
arya,meryn_trant,2
arya,mycah,2
arya,robb,2
arya,roose_bolton,2
arya,sansa,2
balerion,davos,2
balon,robb,2
balon,roose_bolton,2
barristan,kraznys_mo_nakloz,2
barristan,radzai_mo_eraz,2
bert,shireen,2
black_walder,joyeuse,2
boros,meryn_trant,2
bran,farmer,2
bran,maester_luwin,2
bran,theon,2
bran,tormund,2
bran,ygritte,2
bronn,high_septon,2
bronn,loras,2
bronn,margaery,2
bronn,olenna,2
bronn,pycelle,2
bronn,shae,2
bronn,taryn_mant,2
bronn,tywin,2
brynden,hoster,2
brynden,roslin,2
catelyn,hound,2
catelyn,jon,2
catelyn,lothar,2
catelyn,rickon,2
catelyn,tywin,2
cersei,high_septon,2
cersei,hound,2
cersei,ilyn_payne,2
cersei,podrick,2
cersei,stannis,2
craster,eddison_tollett,2
craster,jon,2
daenerys,drogo,2
daenerys,robert,2
dareon,hobb,2
dareon,sam,2
davos,matthos,2
davos,robb,2
davos,rylene,2
desmond,eldrick,2
desmond,sansa,2
desmond,tyrion,2
eddison_tollett,karl_tanner,2
edmure,hound,2
edmure,joyeuse,2
edmure,mountain,2
edmure,tywin,2
farmer,hodor,2
farmer,meera,2
